a52dec 0.7.4-8
imlib2 1.4.7-1
inetutils 1.9.4-2
iniparser 4.0-2
inputproto 2.3.1-1
intel-tbb 4.4_20150728-1
intel-ucode 20150121-1
intltool 0.51.0-1
ipmitool 1.8.15-1
ipmiview 2.10.2-1
iproute2 4.1.1-1
iptables 1.4.21-3
iputils 20140519.fad11dc-1
iscan 2.30.1-8
iscan-data 1.36.0-2
iso-codes 3.62-1
j4-dmenu-desktop-git 2.13.r1.g1bea379-1
jack 0.124.1-3
jansson 2.7-1
jasper 1.900.1-14
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.12-1
jdk7-openjdk 7.u85_2.6.1-1
jemalloc 4.0.3-1
jfsutils 1.1.15-4
jre7-openjdk 7.u85_2.6.1-1
jre7-openjdk-headless 7.u85_2.6.1-1
js17 17.0.0-1
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.6.5-1
kbd 2.0.3-1
kbproto 1.0.7-1
keepass 2.30-1
keepassx 0.4.3-6
keyutils 1.5.9-1
kmod 21-2
krb5 1.13.2-1
ladspa 1.13-5
lame 3.99.5-3
lapack 3.5.0-1
laptop-detect 0.13.7-4
lbzip2 2.5-3
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.21-1
ldns 1.6.17-3
leafpad 0.8.18.1-4
less 481-2
lib32-acl 2.2.52-2
lib32-alsa-lib 1.0.29-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-curl 7.44.0-1
lib32-e2fsprogs 1.42.13-1
lib32-elfutils 0.163-1
lib32-expat 2.1.0-2
lib32-fontconfig 2.11.1-1
lib32-freetype2 2.6.1-1
lib32-gcc-libs 5.2.0-2
lib32-gettext 0.19.6-1
lib32-giflib 5.1.1-1
lib32-glib2 2.46.0-1
lib32-glibc 2.22-3
lib32-glu 9.0.0-2
lib32-gmp 6.0.0-1
lib32-gnutls 3.4.5-1
lib32-harfbuzz 1.0.4-1
lib32-icu 55.1-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.13.2-2
lib32-libcap 2.24-1
lib32-libdbus 1.10.0-1
lib32-libdrm 2.4.65-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.6.4-1
lib32-libgpg-error 1.20-1
lib32-libice 1.0.9-1
lib32-libidn 1.32-1
lib32-libjpeg-turbo 1.4.2-1
lib32-libldap 2.4.42-1
lib32-libltdl 2.4.6-3
lib32-libnl 3.2.26-1
lib32-libpcap 1.7.4-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.18-1
lib32-libsm 1.2.2-1
lib32-libssh2 1.6.0-1
lib32-libstdc++5 3.3.6-7
lib32-libtasn1 4.7-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libusb 1.0.19-1
lib32-libx11 1.6.3-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11.1-1
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.5-1
lib32-libxml2 2.9.2-1
lib32-libxrandr 1.5.0-1
lib32-libxrender 0.9.9-1
lib32-libxshmfence 1.2-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.7.0-2
lib32-mesa 11.0.2-1
lib32-mesa-libgl 11.0.2-1
lib32-mpg123 1.22.3-1
lib32-ncurses 6.0-2
lib32-nettle 3.1.1-1
lib32-openal 1.16.0-1
lib32-openssl 1.0.2.d-1
lib32-p11-kit 0.23.1-2
lib32-pcre 8.37-2
lib32-readline 6.3.008-2
lib32-sdl 1.2.15-6
lib32-systemd 226-1
lib32-util-linux 2.27-1
lib32-wayland 1.9.0-1
lib32-xz 5.2.1-2
lib32-zlib 1.2.8-1
libabw 0.1.1-1
libaio 0.3.110-1
libao 1.2.0-1
libarchive 3.1.2-8
libart-lgpl 2.3.21-3
libass 0.13.0-1
libassuan 2.3.0-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.0-1
libbonobo 2.32.1-4
libbonoboui 2.24.5-3
libbsd 0.7.0-1
libcaca 0.99.beta18-3
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.24-2
libcap-ng 0.7.7-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.93-2
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.1-2
libcroco 0.6.8-2
libcups 2.1.0-1
libdaemon 0.14-3
libdatrie 0.2.9-1
libdbus 1.10.0-3
libdc1394 2.2.3-1
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.65-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-2
libebml 1.3.1-1
libedit 20150325_3.1-2
libelf 0.163-2
libepoxy 1.3.1-1
libetonyek 0.1.3-1
libev 4.20-1
libevdev 1.4.4-1
libevent 2.0.22-1
libexif 0.6.21-2
libffi 3.2.1-1
libfm 1.2.3-1
libfm-extra 1.2.3-1
libfontenc 1.1.3-1
libgadu 1.12.1-2
libgcrypt 1.6.4-1
libgdiplus 3.12-1
libgksu 2.0.12-6
libglade 2.6.4-5
libgme 0.6.0-3
libgnome 2.32.1-5
libgnome-data 2.32.1-5
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomeui 2.24.5-2
libgpg-error 1.20-1
libgphoto2 2.5.8-1
libgsf 1.14.34-1
libgssglue 0.4-2
libgtop 2.32.0-1
libgudev 230-1
libgusb 0.2.7-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-3
libidn 1.32-1
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0-1
libinput 1.0.1-1
libjpeg-turbo 1.4.2-1
libkate 0.4.1-5
libksba 1.3.3-1
libldap 2.4.42-2
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmariadbclient 10.0.21-3
libmatroska 1.4.2-1
libmediainfo 0.7.78-1
libmm-glib 1.4.12-1
libmms 0.6.4-1
libmng 2.0.3-1
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.3-1
libmpcdec 1.2.6-4
libmpeg2 0.5.1-5
libmspub 0.1.2-2
libmtp 1.1.10-1
libmwaw 0.3.6-1
libndp 1.5-1
libnewt 0.52.18-3
libnice 0.1.13-1
libnl 3.2.26-1
libnm-glib 1.0.6-2
libnotify 0.7.6-1
libodfgen 0.1.4-1
libofa 0.9.3-5
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpagemaker 0.0.2-1
libpaper 1.1.24-8
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-3
libpng 1.6.18-1
libpng12 1.2.53-2
libproxy 0.4.11-6
libpulse 7.0-2
libpurple 2.10.11-5
libraw1394 2.1.1-1
libreoffice-fresh 5.0.2-2
librevenge 0.0.2-1
librsvg 1:2.40.11-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.3-1
libshout 1:2.3.1-2
libsigc++ 2.6.1-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsodium 1.0.3-1
libsoup 2.52.0-1
libsoxr 0.1.2-1
libssh 0.7.1-2
libssh2 1.6.0-1
libstdc++5 3.3.6-5
libsystemd 226-3
libtar 1.2.20-2
libtasn1 4.7-1
libteam 1.18-2
libthai 0.1.22-1
libtheora 1.1.1-3
libtiff 4.0.4-1
libtiger 0.3.4-4
libtirpc 0.3.2-2
libtool 2.4.6-3
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.19-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.27-5
libva 1.6.1-1
libva-intel-driver 1.6.1-1
libvdpau 1.1.1-1
libvisio 0.1.3-1
libvisual 0.4.0-6
libvorbis 1.3.5-1
libvpx 1.4.0-2
libwbclient 4.3.0-2
libwebp 0.4.3-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libwpd 0.10.0-1
libwpg 0.3.0-1
libwps 0.4.2-1
libx11 1.6.3-1
libx264 2:148.20150725-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.5-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.2-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libzen 0.4.31-1
licenses 20140629-1
lightdm 1:1.16.3-1
lightdm-gtk-greeter 1:2.0.1-2
linux 4.2.2-1
linux-api-headers 4.1.4-1
linux-firmware 20150904.6ebf5d5-1
linux-headers 4.2.2-1
llvm-libs 3.7.0-4
logrotate 3.9.1-1
lpsolve 5.5.2.0-3
lrzip 0.621-1
lsb-release 1.4-14
lua 5.3.1-1
lua51 5.1.5-4
lua52 5.2.4-1
lvm2 2.02.125-1
lxappearance 0.6.1-1
lxde-icon-theme 0.5.1-1
lxinput 0.3.4-1
lxmenu-data 0.1.4-1
lxrandr 0.3.0-1
lxterminal 0.2.0-1
lynx 2.8.8-3
lz4 131-1
lzo 2.09-1
lzop 1.03-5
m4 1.4.17-1
make 4.1-1
man-db 2.7.3-1
man-pages 4.02-1
mariadb-clients 10.0.21-3
mcpp 2.7.2-5
mdadm 3.3.4-1
mediainfo 0.7.78-1
memtest86+ 5.01-1
menu-cache 1.0.0-1
mesa 11.0.2-1
